c0,c1,c2,c3
Position,Velocity,Acceleration,Predecessor Distance
633.0824794,0.00968919,-7.718654503,36.82899281
633.0824794,-0.025636591,-5.247753691,36.80413242
633.1274035,0.232551561,-0.781905949,36.78406867
633.1274035,0.297198356,0.806926236,36.78406867
633.1274035,0.296065011,1.201672738,36.78406867
633.1274035,0.274948617,1.14428699,36.75920827
633.1274035,0.243540566,0.903264001,37.09395679
633.1274035,0.216675003,0.676804053,38.15327684
633.1274035,0.193267147,0.480962943,39.18638115
633.1274035,0.172845582,0.317920275,40.86334552
633.1274035,0.154663912,0.183154364,43.05318193
633.1274035,0.138997182,0.075655974,45.47817787
633.1274035,0.125097748,-0.010565109,48.32445715
633.1274035,0.100847749,-0.089761932,51.47378808
633.1274035,0.081666722,-0.0787179,54.86661516
633.1274035,0.044409996,-0.374993648,58.56990773
633.3746415,0.246537163,-0.625030237,70.72974023
633.7688839,0.851306232,0.230808338,73.48809698
634.7436314,2.364332289,2.536030076,77.72960434
635.6231824,4.495849537,6.60087831,80.05526027
637.3676875,8.022945034,13.57504133,83.818551
639.2437507,12.79000142,24.11101422,86.51925609
641.5500915,18.96308652,38.93436024,89.04885742
643.4319868,25.74494818,57.60270487,90.81205012
647.1760083,34.75476719,81.53532105,92.9491347
649.5422135,43.90266982,109.080729,94.23703121
654.1134545,55.05808858,140.8792266,95.80592949
655.6173477,64.70679359,174.2723053,99.06720131
657.0730679,72.86335827,206.9579577,102.2247952
658.9363515,79.75830495,236.9378166,103.885745
671.3666626,94.77931745,269.268055,97.02400646
676.1923163,109.207053,302.1668604,96.67015545
682.9453551,124.8592416,336.3302899,95.27827039
1.461931763,139.6469952,367.6550338,93.78913176
7.534594684,153.9703801,396.7119114,91.95946793
13.84603661,168.0084057,422.4851329,89.91042976
22.09003928,182.8786044,444.8739511,86.75893795
27.13453683,195.6586308,463.5447134,84.90041117
33.79807435,208.3869742,481.0651691,82.32066446
43.3123201,221.6018116,491.1334429,79.12874657
49.16965463,231.4397632,495.0948752,77.41488346
55.14714378,240.3477504,495.0510273,75.4635752
63.04037835,247.1050926,488.6147581,71.46908062
